컨텐츠 제목,댓글 수,좋아요 수,데이터 종류,상품 수,경품 총 금액,최대 경품 금액,그립톡 갯수
종강 후 대학생,0,48,브랜딩 (캐릭터 IP),0,0,0,0
쿠니의 방학운세,0,46,브랜딩 (캐릭터 IP),0,0,0,0
진도가 너무 빨라요,0,44,브랜딩 (캐릭터 IP),0,0,0,0
수능 D-100 합격 기원부적,1,43,브랜딩 (캐릭터 IP),0,0,0,0
불금 퇴근전,0,42,브랜딩 (캐릭터 IP),0,0,0,0
새해 부적,0,37,브랜딩 (캐릭터 IP),0,0,0,0
실눈뜨고 봐야 보이는사진,0,31,브랜딩 (캐릭터 IP),0,0,0,0
내가 그지라지만 살돈정도는 있지,2,30,브랜딩 (캐릭터 IP),0,0,0,0
맞다이로 들어와,0,27,브랜딩 (캐릭터 IP),0,0,0,0
쓸데없는 쿠폰선물,0,24,브랜딩 (캐릭터 IP),0,0,0,0
"전략적사고 전략,적,서고",0,24,브랜딩 (캐릭터 IP),0,0,0,0
금요일 밀린 일은 미래로,0,23,브랜딩 (캐릭터 IP),0,0,0,0
빵집 연간 회원권,0,23,브랜딩 (캐릭터 IP),0,0,0,0
오늘 점심 뭐먹지? 쿠니의 점심 운세,2,23,브랜딩 (캐릭터 IP),0,0,0,0
일쳐내다기 이승에서 쳐내짐,0,22,브랜딩 (캐릭터 IP),0,0,0,0
쿠니의 카페 운세,0,22,브랜딩 (캐릭터 IP),0,0,0,0
면접장,2,22,브랜딩 (캐릭터 IP),0,0,0,0
팀장님 한자 집가,0,21,브랜딩 (캐릭터 IP),0,0,0,0
점메추 룰렛,0,21,브랜딩 (캐릭터 IP),0,0,0,0
스몰토크 TMI,0,21,브랜딩 (캐릭터 IP),0,0,0,0
월급 특),0,20,브랜딩 (캐릭터 IP),0,0,0,0
겨울철 간식 당신의 선택은?,9,20,브랜딩 (캐릭터 IP),0,0,0,0
종강직후 개강전날,0,20,브랜딩 (캐릭터 IP),0,0,0,0
인사이드 아웃2,0,18,브랜딩 (캐릭터 IP),0,0,0,0
중간고사 대학생 공부법,0,17,브랜딩 (캐릭터 IP),0,0,0,0
나는 방울이다,0,17,브랜딩 (캐릭터 IP),0,0,0,0
2024 귀칼 극장판 후기,0,17,브랜딩 (캐릭터 IP),0,0,0,0
불호 음식 대전,2,17,브랜딩 (캐릭터 IP),0,0,0,0
잔소리 오마카세!,2,17,브랜딩 (캐릭터 IP),0,0,0,0
범죄도시,0,16,브랜딩 (캐릭터 IP),0,0,0,0
본가 가는 이유,0,16,브랜딩 (캐릭터 IP),0,0,0,0
나는사자다,0,15,브랜딩 (캐릭터 IP),0,0,0,0
내 소비는 틀리지 않았다.,0,15,브랜딩 (캐릭터 IP),0,0,0,0
대체 먼데이,0,14,브랜딩 (캐릭터 IP),0,0,0,0
시험 끝나고 노는 대학생 유형,0,14,브랜딩 (캐릭터 IP),0,0,0,0
쿠니의 바캉스 운세,0,14,브랜딩 (캐릭터 IP),0,0,0,0
시험지만 보면 머리가,0,13,브랜딩 (캐릭터 IP),0,0,0,0
직장 In 스타그램,0,12,브랜딩 (캐릭터 IP),0,0,0,0
말 중에 가장 빠른 말 주말,0,11,브랜딩 (캐릭터 IP),0,0,0,0
대학생에게 종강이란?,1,11,브랜딩 (캐릭터 IP),0,0,0,0
직장인 지갑 상황,0,11,브랜딩 (캐릭터 IP),0,0,0,0
새내기 희망편 절망편,0,11,브랜딩 (캐릭터 IP),0,0,0,0
직장인에게 휴가란?,0,10,브랜딩 (캐릭터 IP),0,0,0,0
커리어 농사,0,10,브랜딩 (캐릭터 IP),0,0,0,0
직장인 일탈,0,10,브랜딩 (캐릭터 IP),0,0,0,0
직장인 멘탈갑,0,9,브랜딩 (캐릭터 IP),0,0,0,0
가을 OOTD,0,8,브랜딩 (캐릭터 IP),0,0,0,0
고3응원,0,7,브랜딩 (캐릭터 IP),0,0,0,0
여름인기 음료 빙과대전,6,64,세일즈 (큐레이션),0,0,0,0
쿠팝콕,0,56,세일즈 (큐레이션),0,0,0,0
시원하게 선물하계,0,43,세일즈 (큐레이션),0,0,0,0
1월 혜택 총정리,0,41,세일즈 (큐레이션),0,0,0,0
복날한달 플렉스 타임,0,40,세일즈 (큐레이션),0,0,0,0
상큼이 음료 대전,0,39,세일즈 (큐레이션),0,0,0,0
여름보다 강렬한 8월특가,0,37,세일즈 (큐레이션),0,0,0,0
왓챠 이용권 출시,0,35,세일즈 (큐레이션),0,0,0,0
커피 어디까지 먹어봤니?,0,32,세일즈 (큐레이션),0,0,0,0
햄버거 선물 Top5,0,32,세일즈 (큐레이션),0,0,0,0
시즌한정 빙수 대전,1,31,세일즈 (큐레이션),0,0,0,0
쿠팝으로 갓생살기,0,29,세일즈 (큐레이션),0,0,0,0
금액권 10% 혜택,0,27,세일즈 (큐레이션),0,0,0,0
별다방 쿠팝에 다있다,0,26,세일즈 (큐레이션),0,0,0,0
쿠팝 연말대상,1,25,세일즈 (큐레이션),0,0,0,0
똑소리나게 직원 선물,0,25,세일즈 (큐레이션),0,0,0,0
단풍처럼 화려한 10월 혜택,2,24,세일즈 (큐레이션),0,0,0,0
쿠팝 포인트 네이버페이에서,0,23,세일즈 (큐레이션),0,0,0,0
브랜드카페 커스텀 음료,0,23,세일즈 (큐레이션),0,0,0,0
빵빵한 다달이,0,22,세일즈 (큐레이션),0,0,0,0
배송비여 0원하라,0,22,세일즈 (큐레이션),0,0,0,0
추석 선물 가이드,2,21,세일즈 (큐레이션),0,0,0,0
다이소 꿀템 둘러보기,0,20,세일즈 (큐레이션),0,0,0,0
신기방기 맛도리 탐방기,0,20,세일즈 (큐레이션),0,0,0,0
1월 혜택 총정리,0,19,세일즈 (큐레이션),0,0,0,0
파리바게뜨 인기 Top5,0,19,세일즈 (큐레이션),0,0,0,0
편의점 음료 꿀조합,1,19,세일즈 (큐레이션),0,0,0,0
미리 추석 특가전,0,19,세일즈 (큐레이션),0,0,0,0
복날 Top5 선물,0,18,세일즈 (큐레이션),0,0,0,0
어버이날,0,17,세일즈 (큐레이션),0,0,0,0
응답하라 빵꾸똥꾸,0,16,세일즈 (큐레이션),0,0,0,0
3월 특가 대격돌,0,16,세일즈 (큐레이션),0,0,0,0
쿠팝 비즈회원,0,15,세일즈 (큐레이션),0,0,0,0
4월 혜택 총정리,0,15,세일즈 (큐레이션),0,0,0,0
무조건 쓰는 금액권,0,14,세일즈 (큐레이션),0,0,0,0
3월 특가 막차타자,0,14,세일즈 (큐레이션),0,0,0,0
이달의 쿠팝 신상,0,13,세일즈 (큐레이션),0,0,0,0
발렌타인 꿀팁,0,13,세일즈 (큐레이션),0,0,0,0
배스킨라빈스 15%할인,0,12,세일즈 (큐레이션),0,0,0,0
베라 꿀조합 추천,0,12,세일즈 (큐레이션),0,0,0,0
오월선물,0,12,세일즈 (큐레이션),0,0,0,0
JMT 배달음식 꿀조합,0,12,세일즈 (큐레이션),0,0,0,0
샐러디 가이드!,0,12,세일즈 (큐레이션),0,0,0,0
가을맞이 나들이 추천템,0,12,세일즈 (큐레이션),0,0,0,0
이게 더 잘팔린다고?,0,11,세일즈 (큐레이션),0,0,0,0
12월 혜택 총정리,0,11,세일즈 (큐레이션),0,0,0,0
2월혜택 총정리,0,10,세일즈 (큐레이션),0,0,0,0
대학생 최애 쿠폰모음 Zip,0,9,세일즈 (큐레이션),0,0,0,0
슬기로운 골프생활,0,8,세일즈 (큐레이션),0,0,0,0
바나나맛 우유 100원,0,5,세일즈 (큐레이션),0,0,0,0
카카오톡 채널 친구추가이벤트,54,153,참여형 이벤트 (기타),0,0,0,0
5000팔로워 감사,1721,2009,참여형 이벤트 (댓글 이벤트),100,500000,5000,0
나의 여름휴가 유형은?,1695,1362,참여형 이벤트 (댓글 이벤트),200,460000,5000,0
새해 각오 이벤트,1329,1169,참여형 이벤트 (댓글 이벤트),100,190000,3000,0
말복에 먹고픈 보양식은?,1382,1056,참여형 이벤트 (댓글 이벤트),100,195000,3000,0
최애 BBQ 세트,1232,999,참여형 이벤트 (댓글 이벤트),100,195000,3000,0
